記事番号,タイトル,URL,サマリー
1,ポケモンGOの有料イベント「ジョウトツアー」チケット発売 ジョウト地方全ポケモンに色違い,https://www.itmedia.co.jp/news/articles/2112/11/news037.html,スマートフォンゲーム「Pokemon GO」（ポケモンGO）を運営する米Nianticは、2022年2月26日と27日に開催する冬の大型イベント「Pokemon GO Tour：ジョウト地方」（以下、ジョウトツアー）の概要を発表しました。26日はバーチャル開催のため、どこにいてもチケットを購入すれば参加できます。27日はリアルイベントになる予定ですが、詳細は未発表です。前回の「カントーツアー」同様、ジョウト地方のすべてのポケモンに色違いが実装されます。ただしジョウト地方の全てのポケモンを捕獲できるわけではありません。原作ゲームの「ポケットモンスター 金・銀」にちなみ、ゲーム内でプレイヤーが「金」「銀」どちらかを選択し、それぞれに合ったポケモンが出現する趣向です。色違いの出現率もアップします。「金」を選ぶと色違い確率がアップするポケモン ホウオウ、イトマル、ププリン、ネイティ、ヒマナッツ、ムウマ、ソーナンス、グライガー、ツボツボ、ヒメグマ、ウリムー、マンタインなど「銀」を選ぶと色違い確率がアップするポケモン ルギア、レディバ、ピィ、ウソッキー、ヤンヤンマ、クヌギダマ、デリバード、エアームド、デルビル、ゴマゾウ、ミルタンク、ヨーギラス参加者は特別な技を覚えた「セレビィ」が入手できる他、イベント当日にはレイドパス9枚（ジムで入手）や、リモートレイドパス3枚が入ったボックスの配布、タマゴのふ化距離4分の1など、チケット購入者特典があります。おこうを使うとアンノーン「G」「O」「T」「U」「R」「J」も出現します。26日のチケットはゲーム内ショップで発売中。Androidユーザーは1360円（以下、全て税込）、iOSユーザーは1480円です。また1月10日までにチケットを購入すると早期購入特典として、1月と2月の「タイムチャレンジ」が付いてきます。「Pokemon GO Tour：ジョウト地方」のチケットチケットを購入しない場合でも2月26日に開催されるジョウト地方のポケモンのレイドには参加できます。これには地域限定ポケモン「サニーゴ」や「へラクロス」のレイドも含まれます。野生や7kmタマゴからもジョウト地方のポケモンが出現します。今年2月の「カントー地方」イベント時には、チケットを購入していないユーザーもイベントに参加できる不具合が発生し、補填イベントが3月に開催されるという事態になりました。12月7日には初実装の「クリムガン」の色違いがイベント開始直後に出現しないトラブルがあったばかり。ジョウトツアーではこうした問題が起きないように祈るばかりです。一方、2月27日のリアルイベントについてNianticは「一部の地域でリアルイベントを開催します。『ポケットモンスター 金・銀』 にちなんで、カントー地方のポケモンの出現とともに新しい旅を始めることになります」としています。原作ゲームではシナリオ後半で舞台がジョウト地方からカントー地方に移るため、それを模していると思われますが、内容はまだ分かりません。開催場所やチケット情報は近日公開するとしています。国内の都市でリアルイベントを開催するのであれば、コロナ禍前の2019年以来。2020年には京都で予定されていた「ポケモンGO シティスポットライト」などいくつかのリアルイベントが感染状況の悪化により中止となりました。
2,[B!] ポケモンGOの有料イベント「ジョウトツアー」チケット発売 ジョウト地方全ポケモンに色違い,http://b.hatena.ne.jp/entry/https://www.itmedia.co.jp/news/articles/2112/11/news037.html,エントリーの編集は全ユーザーに共通の機能です。 必ずガイドラインを一読の上ご利用ください。このページのオーナーなので以下のアクションを実行できますタイトル、本文などの情報を再取得することができます 情報を更新する
3,Epic、映画「マトリックス」の世界が舞台の「Unreal Engine 5」の仮想都市デモをPS5とXboxで無料提供,https://www.itmedia.co.jp/news/articles/2112/11/news032.html,米Epic Gamesは12月10日（現地時間）、ゲームエンジン「Unreal Engine 5」（UE5）の技術デモとして、映画「マトリックス」の世界を舞台にした「The Matrix Awakens: An Unreal Engine 5 Experience」を発表した。同日、「PlayStation 5」と「Xbox Series X／S」で無料でダウンロードできるようになった。約29GBのデータだ。日本では12月17日に公開される映画「マトリックス」シリーズの最新作「マトリックス レザレクションズ」のラナ・ウォシャウスキー監督や映画の技術陣がEpicのエンジニアチームと協力して制作した。デモの冒頭にはキアヌ・リーブス演じるネオとキャリー・アン・モス演じるトリニティの本物と見紛うデジタル化されたキャラクターが登場する。ネオとトリニティのデジタルキャラクターデモは、ロサンゼルスのような広大な仮想都市の中でカーチェイスやサードパーソンシューティングアクションをインタラクティブに体験できるというものだ。ゲーム的な要素も楽しめる仮想都市は256平方Kmあり、7000のビル、1248の交差点、4万5073台の車（そのうち3万8146台が運転可能）、260km以上の道路、512km以上の歩道がある。また、何万人ものAI駆動のデジタルキャラクターが“住んで”いる。仮想都市仮想都市内のイベントは、Unreal Engineの物理システム「Chaos」を採用しており、すべてスクリプト化されていない動的なものという。都市を徘徊するキャラクターや車はグローバルシミュレーションのアクターで、ビジュアルはリアルタイムで動的に処理されるので、「従来のインタラクティブ体験ではなかった方法で環境はリアルに感じられる」。例えば自動車の衝突事故なども「Chaos」でリアルタイムにシミュレートされるので、「同じ事故が2回発生することはない」。PS5版はこちらから、Xbox版はこちらからダウンロードできる。Epicは「こうした広大なオープンワールドを構築する能力は、メタバース時代にスリリングな可能性をもたらす。Matrix Awakenは、メタバースの世界を垣間見ることができるものだ」と語った。【訂正：2021年12月11日午後3時10分 仮想都市の広さが間違っていました。お詫びして訂正します。】
4,Epic、映画「マトリックス」の世界が舞台の「Unreal Engine 5」の仮想都市デモをPS5とXboxで無料提供,http://b.hatena.ne.jp/entry/https://www.itmedia.co.jp/news/articles/2112/11/news032.html,エントリーの編集は全ユーザーに共通の機能です。 必ずガイドラインを一読の上ご利用ください。このページのオーナーなので以下のアクションを実行できますタイトル、本文などの情報を再取得することができます 情報を更新する
5,Nゲージの模型をラズパイで動かす “らずてつ”その1――鉄道模型とラズパイをつなぐ：名刺サイズの超小型PC「ラズパイ」で遊ぶ（第52回）,https://www.itmedia.co.jp/news/articles/2111/29/news008.html,筆者は鉄道が好きです。乗りに行くのが基本の“乗り鉄”ですが、その際には乗った列車の写真を撮ることもあるので、まあ“撮り鉄”と言えなくもないです。ただしその際には“怒号”とは無縁です。しかしこのご時世、なかなか鉄道を乗るためだけに出掛けるのも難しいところ。そんなときの楽しみの1つとして、筆者には“模型鉄”というジャンルも残されています。もっぱらNゲージですが、中学生の頃から色んなものを買ったり、不要なものを処分してはまた買ったりとそろえつつあります。好きなのは国鉄時代のローカル線なので、最大でも3両編成程度ですね。キハ20とか、キハ30とか、キハ40とか。電車でいってもクモハ12とか。そのあたりを集めています。ただ、模型をため込んでいくと、今度は「レイアウト」という、いわゆる“ジオラマ”を作りたくなってしまいます。鉄道博物館などにある、あれです。しかし、狭い3LDKのマンションに広大なレイアウトを敷く場所なんてありません。まあ許されるのは食卓の半分くらいの大きさでしょうか。とはいえ大きなレイアウトでなくても楽しめるもう1つのロマンがあります。それは「鉄道の自動運転」です。あらかじめ自分がプログラムを組んだ通りに走ってくれたら、それはすごいことのような気がしませんか。しかも我々の手の中にはラズパイがあるのです。これを使えば何かできそうな気がします。というか、さまざまに取り組んでこられた方も多いですね。ネットで調べるといろいろな方法がヒットします。それはそれとして、今回から鉄道模型の運転をラズパイで制御するという目標に向かって進んでみたいと考えています。ただし、今のところ筆者の頭の中にあるのは、ラズパイで電圧を制御して前進したり反転したり、速度を変えたりといったことくらいしかありません。果たして終着駅がどこになるのかも分かっていませんが、ひとまずお付き合いいただければと思います。最終的にはトミックスの「レイアウトベースキット」にポイントを2個仕込んで動かすことを目標とします。トミックスのレイアウトベースキットに線路と駅を乗せた状態Nゲージの模型をラズパイで動かすさて、まずはラズパイで模型を動かす方法について考えていきましょう。鉄道模型の動力車は直流モーターで動きます。電圧は12Vで、電圧を変えることによってスピードが可変します。鉄道模型を動かすために用意されている「パワーパック」がありますが、そこにあるつまみを回すことで電圧を可変し、鉄道模型の速度を変えています。ただしこれはアナログでのやり方です。デジタルしか扱えないラズパイの場合は「PWM」という方法を使います。PWMとは「Pulse Width Modulation」の頭文字を取ったもので、直訳すると「パルス幅変調」です。電源をオンオフするスイッチングの周期を変えることで、オンにしたパルス幅に比例した電圧が得られるという仕組みです。パルス幅をデジタルで変化させて任意の電圧を得ることになります。ラズパイでPWMを扱えるGPIOは2パターンあります。GPIO12とGPIO13、GPIO18とGPIO19です。ここでは1つのモーターを制御するだけなので、GPIO12のみを使います。あとラズパイに加えて、12Vの電圧でモーターを動かすためのモータードライバーが必要です。さまざまなモータードライバーがありますが、今回は秋月電子通商で販売されている「TB6612使用 Dual DCモータードライブキット」（以下、TB6612）を使います。出力電流が定格で1.2A、最大で3.2A流せます。パワーパックでは1.2A程度の電流となりますので、十分に対応できます。室内灯を多く取り付けた場合でも、これならばなんとかなりそうです。TB6612にラズパイのGPIO20、GPIO21を接続して、前進と後退を制御しましょう。TB6612は2つまでモーターを制御できますが、今回は1つだけを使います。今後もし複線にするときには、そちら側の制御も可能ですね。TB6612モータドライバモジュール今回利用するNゲージの線路ですが、筆者の手持ちにあるトミックス製の物を使いました。トミックスの場合はレールとパワーパックを接続するのに「D.C.フィーダーN」を使います。またDC12Vを得るためにACアダプターを利用しますが、ブレッドボードで組み合わせやすいように「ブレッドボード用DCジャックDIP化キット」を使いました。ACアダプターですが、先ほども述べたように1.2A程度あれば十分なので、秋月電子通商で販売している12V2Aのものでよいでしょう。ブレッドボード用DCジャックDIP化キットもうひとつのパーツがありました。今回のシステムですが、ひとまずブレッドボード上で配線することになるので、TJC8コネクターをD.C.フィーダーNに取り付けておく必要があります。TJCBコネクターと、それに取り付けるコネクタ用ハウジングも用意しておきましょう。TJCBコネクターはコードにはんだ付けする必要があります。TJCBコネクターをコードにはんだ付けしたところここまでで作業は終わったので、ラズパイと接続しましょう。つなげ方は表1のようになります。ラズパイとTB6612の接続DIP側 PWMA GPIO12 AIN2 GPIO21 AIN1 GPIO20 VCC ラズパイの3.3V端子 STBY 接続しない GND ラズパイのGND BIN1 接続しない BIN2 接続しない PWMB 接続しない端子側 AO1 D.C.フィーダーNの白色 AO2 D.C.フィーダーNの茶色 BO2 接続しない BO1 接続しない VM AC電源の＋ PGND AC電源のーこれで準備は終わりました。ブレッドボード上に取り付けると以下の写真のようになります。次回からはプログラムを使って、鉄道模型を動かしてみます。
6,東京と神奈川のイルミネーションスポット情報 「Yahoo! MAP」で提供,https://www.itmedia.co.jp/news/articles/2112/10/news175.html,"ヤフーは12月10日、地図アプリ「Yahoo!
MAP」（iOS、Android）でイルミネーション開催スポットを検索できる「東京・神奈川イルミネーションマップ2021」を始めた。地図上で東京・神奈川で開催されている約40カ所のイルミネーション会場の詳細を検索できる。観光ガイドブック「るるぶ情報版」を発刊しているJTBパブリッシングが協力した。アプリ起動後、東京都・神奈川県付近の地図を開き、画面下部を引き上げて「地域のおすすめテーママップ」中から「【るるぶDATA】東京・神奈川イルミネーションマップ2021」をタップ。会場名のピンをタップすると、画面下部に写真、イベント名、イベント期間などのコメント、施設詳細などが表示される。現在地からのルート検索も行える。昨年は規模を縮小して開催した「表参道イルミネーション2021」や、人気の高い「丸の内イルミネーション2021」、「HIBIYA Magic Time IIIumination」、2年ぶりに「ICE SKATING PARK」がオープンする「東京スカイツリータウン マジカルクリスマス2021」などの情報を掲載している。約40カ所のイルミネーションを紹介しているこの記事について この記事は、地図と位置情報のニュースを中心とした情報サイト「GeoNews」から転載、加筆したものです。URLはこちら。"
7,2021年、世界中で最もツイートされた絵文字は？ Twitterが発表,https://www.itmedia.co.jp/news/articles/2112/10/news171.html,Twitter Japanは12月10日、2021年で最も「いいね」や「リツート」された投稿など、各種ランキングを発表した。最もいいねされたツイートは、ジョー・バイデン氏が米大統領に選出された時に投稿したもので、408.8万いいねを獲得した。2021年で最もいいねを獲得したツイートランキングいいねランキングの2位は、韓国の男性ヒップホップユニットBTS（防弾少年団）のジョングク氏の自撮り画像で326万いいね。3位はFacebookやInstagramで大規模障害が発生した際にTwitter公式アカウントが投稿したツイートがランクイン。333万いいねを獲得した。3位がより多くのいいねを獲得しているが、Twitter Japanによると集計時期が1月1日〜11月15日までだったためで、その後逆転した可能性があるという。最もリツートされたツイートは、米国で発生したアジア人へのヘイトクライムに対しBTSがメッセージを発信したのものだった。こちらは引用を合わせて108.7万リツイートされている。BTSはハッシュタグランキングでも1位を獲得している。少し変わったランキングとしては、世界中で最もツイートされた絵文字は「大泣き」で、次に「泣き笑い」がランクインした。2021年は両目の絵文字が前年より7ポイント増え、初めてトップ10入りを果たした。
8,バンダイ公式サイト、品薄で一部ガンプラを抽選販売に 再生産スケジュール公開もファンは「半年先まで状況は変わらないのか」,https://www.itmedia.co.jp/news/articles/2112/10/news168.html,BANDAI SPIRITSは12月10日、公式ECサイト「ガンダムベースオンラインショップ」（プレミアムバンダイ内）で一部ガンプラの抽選販売を始めた。海外人気の高まりによる品薄対策の一環。ネット上では抽選販売を評価する声が上がる一方、状況が変わらないことを嘆く人も多い。抽選販売の対象は「RG 1/144 Hi-νガンダム」「HG 1/144 ペーネロペー」など人気の5商品。10日正午から17日正午まで受け付ける。申し込みは1人1個限定で、決済手段はクレジットカードか独自の電子マネー「プレバンPay」のみ。当選者には23日に通知するが、出荷は2022年4月になる。BANDAI SPIRITSは抽選販売にした理由を「昨今の品薄状態により、多くの人が商品を買えない、買いにくい状況が生まれている。改善に向けて生産、販売の対策を講じており、その一環として再生産とガンダムベースオンラインショップでの抽選販売を実施する」と説明している。併せて人気商品の再生産スケジュールを半年先まで公開した。22年6月までの再販スケジュールバンダイの対応についてネット上のファンは様々な反応をみせた。「期間を設けた抽選なら社会人も参加できる」「継続的に商品が供給されると分かれば転売業者から購入する人は減る」と評価する声がある一方、「半年後も状況は変わらないのか」「バンダイは海外や直販店ばかり優遇している」といった厳しい意見も多く見られた。ガンプラは海外での人気上昇に伴い、近年は品薄傾向に。バンダイは新工場の建設など増産に努めてきたが、コロナ禍の「おうち需要」で品薄に拍車がかかり、現在も販売店の多くは「お一人様1点まで」。とくに人気商品は入手しずらい状況が続いている。全国5カ所にあるバンダイ直営店「ガンダムベース」は11月26日、「昨今の状況」を鑑み、今年度は「ガンプラ福袋」を実施しないと発表した。
9,ニコニコに複数回の不正ログイン、リスト型攻撃か 「登録情報の見直しを」,https://www.itmedia.co.jp/news/articles/2112/10/news162.html,ドワンゴは12月10日、動画共有サイト「ニコニコ」で不正なログインを複数検出したと発表した。他のサービスで不正に入手したメールアドレスやパスワードの組み合わせを使ってログインを試みる「リスト型アカウントハッキング」の可能性があるとみて、ユーザーに注意を促している。お知らせの一部リスト型アカウントハッキングの場合、アドレスとパスワードの組み合わせで何かのサービスへログインできるか確かめてから、目的の犯行に及ぶと同社は説明。そのため、ニコニコ内で被害がなくとも同じ情報を登録している他のサービスで、不正ログインの被害が発生する場合があるという。ニコニコ内で不正ログインがあった場合には、ニコニコポイントの不正な購入や利用、動画やコメントの無断投稿、アドレスやパスワード、性別、生年月日などの登録情報が閲覧、もしくは変更される可能性があるという。同社は「ニコニコに登録情報が他サービスと共通であるならば、異なる情報に変更することを検討してほしい」としている。
10,「やばすぎる」 Javaライブラリ「Log4j」にゼロデイ脆弱性、任意のリモートコードを実行可能 iCloudやSteam、Minecraftなど広範囲のJava製品に影響か,https://www.itmedia.co.jp/news/articles/2112/10/news157.html,"Javaで使われるログ出力ライブラリ「Apache Log4j」に悪意のある文字列を記録させることで、任意のリモートコードを実行できるようになる（Remote Code Execution, RCE）、ゼロデイ脆弱性があることが12月10日に分かった。広範囲に影響が及ぶ可能性があることから、ITエンジニアを中心に議論の的になっている。例えばMinecraftでは、チャットに悪意のある文字列を書き込んだりすることでログに記録させるだけで任意のリモートコードを実行できてしまうことが報告されている。すでに、Minecraftの一部サーバでは閉鎖やパッチの適用などの対応を進めている。Minecraftのサーバアップデートを促すお知らせWebセキュリティ製品などを手掛ける米LunaSecの報告によると、Minecraftの他、ゲームプラットフォームのSteamやAppleの「iCloud」もこの脆弱性を持つことが分かっており、影響は広範囲に及ぶと考えられるという。米LunaSecの報告この脆弱性の影響があるのは、Log4jのバージョン2.0から2.14.1までと当初みられていたが、Log4jのGitHub上の議論では、1.x系も同様の脆弱性を抱えていることが報告されている。対策には、修正済みのバージョンである2.15.0-rc2へのアップデートが推奨されている。セキュリティニュースサイト「Cyber Kendra」によれば、この脆弱性に対して付与されるCVE番号は「CVE-2021-44228」という。脆弱性の報告を受け、Twitter上ではITエンジニアたちが続々反応。「やばすぎる」「思っていたよりずっとひどいバグだった」「なぜこんな（外部からプログラムを取得する）機能が実装されていたのか」などの声が上がっている。スマートニュースのエンジニアである紀平拓男さんは「Javaでサーバサイドを作っていれば直接でなくても依存で使っていることがほとんどで、関係ないと思っていてもだいたい関係している。対策するのが相当大変なので放置する会社が多そう」として「暗黒期突入の可能性もある」と指摘している。"
